review_id,review_title,review_date,review_rating,review_content,review_location
65b9042c4797dcb1efdf4e64,Bought already 4 products - amazing experience,2024-01-29,5,"Bought already 4 products: food dryer, knife sharpener, high pressure water cleaner and home trainer. All works like a charm after months of usage! Home trainer is magic, I do sports every day for 1.5-2h and it is still like new after 6 months of hard work",NL
65aed6b600af4883acaf8caf,"TIG (WIG) welder, model S-WIGMA 200PDC",2024-01-22,5,"I ordered a TIG (WIG) / MMA welder, model S-WIGMA 200PDC.1. Shipment to Austria was very quick, tracking and delivery by GLS perfect2. The Welding DeviceFirst welding tests with stick electrodes (MMA) were fine, ignition, arc stable.I measured the current with a Fluke clamp on meter and checked the deviation. At 100 and 110 Ampere the measured current was almost exactly the adjusted one.At lower current like 50 and 55 Ampere the measured current was slightly lower (~ 3 Amps).I think that's pretty good for such a nonprofessional device.No tests with TIG (WIG) welding so far, but planned for near future...3. Customer supportI had a few questions - prompt response, polite.But one thing I have to mention:An answer to a specific question was not correct:They said the plug has a 13 mm socket. After I received the device, I measured and it turned out it is a 9mm socket.Summary: a nice welder with advanced features and adjustments like pulse frequency, Hot start, Arc Force, etc. for a reasonable price.",AT
65b356989fc6ec42f5d5e5ae,The order has arrived as promised,2024-01-25,4,"The order has arrived as promised. All was great, I was just surprised that the order will be dispatched from other country - as the website was in Bulgarian, I thought that the product is in local stock, so the delivery time was kind of disappointing - I ordered the product as a gift to a friend of mine, and it arrived after the date.",BG
65b8d3d4be424ac6e3d53a71,I bought I dump wagon,2024-01-24,1,I bought I dump wagon. It has failed after 11 months and Expondo isn’t honouring the warranty. Even though wagon has a 2 year warranty.Part of stirring bracket has split do to bad design and thin metal of the wagon.,US
65b21547adf5d0f2623c41c0,I would buy an electronic scale…I have no one to ask for advice regarding the use or replacement of the product.,2024-01-18,1,"I would buy an electronic scale (Counting scale - 6 kg / 0.1 g - battery) and I cannot use it. but worse, I have no one to ask for advice regarding the use or replacement of the product.The email is answered by an extremely stupid chatbot, without helping me with anything concrete.Lucian Vlagea",RO
65a3c4680208eaa47b381c4d,The product arrived on time all the…,2024-01-12,5,The product arrived on time all the assembly details were perfect made it very handy and clear great service well done,IE
65a68b82126d92f1f9a4d330,Awesome experience,2024-01-15,5,Awesome experience. We had to use their customer support to fix our invoice data and they provided outstanding timing and support!,BG
65b55dc3091e2ef131650500,"do not buy from this company at any cost, because you will be very sorry.",2024-01-27,1,"i bought a space heater from this company, it was delivered by UPS couriers, and it wouldn't work properly, so they sent me a return document to be brought back to them by GLS couriers and they said they repaired it and sent it back with GLS couriers, and they threw it over the gate onto the road and busted the back of the heater, i plugged it in and it was worse than when it came, i got back onto them and all they could offer me was a credit note if i returned it, i paid the UPS courier when he delivered it, i didn't give him a credit note, i contacted GLS couriers and we can only deal with expondo, get back onto them, and i did, only to get the same crap.So who the hell is going to pay for the damaged property. looks like nobody.So i say, do not buy from this company at any cost, because you will be very sorry.",IE
65830d582df3bc042399e13d,Super fast shopping,2023-12-20,5,"Super fast shopping, I found my product quickly, no problems. all information I needed about technical parameters was available, so no need to get in touch with virtual assistant. I like this store.",PL
659fcc8b2e14391e7d9d5597,Good and fast delivery,2023-12-27,5,"Good and fast delivery of this amazing standing desk system, it was quite fast at very good price.",CZ
651ee50f5ae03db6af4d9088,reliable company and nice product (greenhouse),2023-10-04,5,"Purchase proces 'mothers milk' pleasant and easy at the same time.I bought the greenhouse.Product in general is OK.We set it on the concrete foundation so it stand very solid. Great thinks are the gutters on both side so water is kept away.One concern are quite fast rusting screws and not fully closed roof windowall in all product looks promising :)Service of Expondo is fast and reliable, after rising concern about some spare parts we get it with no problem",PL
65950136507439cdcbfaf53b,I bought a product from Expondo,2023-12-01,4,"I bought a product from Expondo, but it was not as described. I made a complain and they came with a solution that I am satisfied with. Thank you Expondo. Thumbs up ☺️",NO
64d6ab086e7a34ff1532b3bc,Great quality product and in great…,2023-08-11,5,Great quality product and in great condition. No issue with expondo although bear in mind 1-3 days delivery may apply to some items but mine came from Poland and I don't recall seeing it could take around 2 weeks which I see as acceptable but I was expecting far sooner so just bare that in mind. May also have been due to stuff like a certain country trying to take over a bordering country which may also cause delays. #furussia,GB
6511601f80fac02db8231204,Post-warranty service,2023-08-28,5,"Thanks to resourceful customer service, my RCMB-2LA blender is working properly again.Elena from expondo GmbH has become my favorite person from the company. She solved my problem quickly and efficiently. It turns out that keeping a customer after warranty is as important as getting a new one. We are staying for a long time with products from exppondo.",NL
652311a3869431546e87775e,Laboratory power supply S-LS-117,2023-09-28,5,"I haven't had time to deal with the power supply yet due to other work. I did some tests and the voltage on this power supply seems pretty accurate, the current limit does its job. Parallel and serial mode work fine. This equipment has USB, serial and RJ45 connectors. The included CD contains drivers and programming software.The price of the device was very friendly. Shipping was very fast.So I like this device. I am satisfied with the purchase.",HU
645de01107a8b3cc97f0ae69,Air purifier 10050053 - product worth recommendation,2023-04-29,4,Quick checkout. Bought air purifier 10050053 works proper - used to desinfect the interior of some cars because the cabin air filter change didn't help much. After the deodorisation (~30 min.) the unpleasant smell shortly after after turning on the AC is finally gone! Only drawback is the full user manual non included in the package but downloadable form the shop manual QR-code or link...but I'm an old school guy who prefers the printed ones.A product worth recommendation after all!,PL
6437c2d14583df412d44dd41,In the low-price-segment good quality,2023-04-05,5,"In many situations of everyday life you need tools that are only used occasionally and that are not exposed to extreme continuous stress. in these cases, expensive branded products are a pointless waste of money. expondo. com precisely fulfills its purpose  in this area: good quality, low prices. the processing from order to delivery runs perfectly.",DE
65054a4c02cded1fdfd09189,The equipment was fairly priced…,2023-09-15,5,"The equipment was fairly priced compared to similar. The advert said 3 day’s delivery but it took 7 so planning the job was affected, however the saving & the equipment made me happy with the deal. 33% less than competitors. Excellent value.",GB
6517ee277e96d0f9013c5714,Steel posts and straps,2023-09-28,5,"Ordered some stainless steelposts and straps for a new art gallery. Top notch quality product , superbly packed, swiftly delivered. I thought great value for the product quality. Could do with a little more communication - delivery turned up and it was only by chance that I was there. But bar that tiny criticism (easy to address) very good company to deal with.",GB
6582db9ab65fe5974bf373c3,Fast service and good price-quality ratio.,2023-12-20,5,"I had some specific questions about a product, which were promptly and adequately addressed. Additionally, the price-quality ratio is very favorable!",NL
6581aa71ed7071b8891fe0d7,No customer service,2023-12-08,2,No customer service. Paid for three year warranty and item arrived damaged. Can't get hold of anyone regarding this. Really disappointed as I spent nearly £800 on this product.,GB
658187759261fc72e4c0c255,Ikke bestill! Scam,2023-12-18,1,"Ikke bestill!! Its a Scam!!I ordered produkt 11.sep.23. Noe 3 months later and im still waiting for missing parts. I cannot use water system without all parts. I have payed and not gotten what i payed for.It tok 2months before they manager to send the missing part , and They sent it to Germany!!? - i live in Norway.When i contact customerservice, they dont fix the problem, and they give me bad attitude!",NO
6580cfc217f68235231e15e8,Dissatisfied business customer,2023-12-15,1,I am not satisfied with your after sales support and reaction,NO
65800dd6b78a37a576fb66b5,Really impressed with the quality,2023-12-15,5,Really impressed with the build quality. I highly recommend. PS. Is not the easiest to clean.,RO
65799e125f9055449f5da2e8,damaged item - return ignored.,2023-12-13,1,"I purchased an oven which arrived with the glass smashed. Expondo said that they would take back and replace with a new one. I took a day off work to wait for the pickup. No-one came. When I complained I got a series of extremely passive aggressive and unprofessional responses, i.e., the driver was at your apartment, here is a screenshot as proof, we will charge you for a second attempt .... with the screenshot being of a completely different address. Ultimately the company refused to give a time to pick up the item they delivered broken, and has ignored my repeated requests for a refund.",GB
6575ac0845d6af48891bc1ea,good,2023-11-15,5,Great quality,HU
65702b3a874656df3a860115,Fast shipping !!,2023-12-06,5,Fast shipping. Customer service answered all my questions immediately. The product arrived in Hungary in a few days. I recommend Expondo to everyone!,HU
656f73d9d4c5be75b05e05d8,Excellent company to deal with,2023-12-04,5,Excellent company to deal with. I was nervous because the item was very large. Excellent communication and trusted shipping company used to delivery. Very competitive prices,IE
656c8e019fb6285b8404c99b,ordered and recieved a honey extractor,2023-12-01,1,"ordered and recieved a honey extractor, the central basket/drum had not been properly made and it is impossible to use, we then found that Expondo has no contact details online and no email, so it is impossible to contact them, or send images.It is the 3rd item we have bought, we will not buy another, it will be interesting to raise a small claims action.DONT buy from companies without contact details!",GB
6569f3461696b511eb400570,all good,2023-11-30,5,"all good, very good service, did multiply orders.",DE
656519d49f0e1aa309f0bde4,I bought a water distiller to be fair…,2023-11-24,1,I bought a water distiller to be fair item arrived on time no broken my problem was the instructions manual it was useless I had no clear pics or instructions on how to set up. Also the pump they provided did not come with Uk plug. They were quick to respond to my email but just sent a copy of the manuel that come with it so no good. I’m now in the process of returnin Item but not been easy they said to drop it at an automated post box thing. Qr code was not expected. I then rang helpline that machine provided I was told that the item is not supposed to be returned via machine. The courier they use is Hermes and apparently I can take the QR code provided into shop to be picked up. I just hope they will pay full refund without getting bank involved.,GB
656312df732fe33f1a684dab,Terrible service,2023-11-23,1,"Terrible service, little professionalism, practically zero customer service. Terrible service, a huge joke!!",IT
655c9f3359537c12a5f6bbf7,The support service was first class excellent company,2023-11-21,5,The support service was first class. Exce,ES
6559fea12c6fa03e0ffdb686,Fast,2023-11-16,5,"Fast, accurate, good product",HU
6559dbbafd28fa24bc16befd,Reliable products,2023-11-17,4,Product as described,GR
6557c376c95e1deebf6611b0,fast delivery and great service,2023-11-16,5,,GB
65566b9fe70fa4225afdadc2,Value for money,2023-11-15,5,Value for money.  Free delivery,IE
6555f1cb97495601958a13fb,Great service,2023-11-16,5,"Great service, they are very kind and they answer very quick.",ES
6555b9c001457a8a4311f024,All good ..,2023-11-10,5,All good ... Thanks,GB
6554e6613b86e340bb2184b1,impeccable,2023-11-14,5,,CH
65532f82a219859d600daf37,Released by customs not got any further,2023-11-04,3,"Edit: Product finally came after contacting the through Facebook. Happy with what we finally received, but probably won’t use these again due to shipping problems.The product I ordered was released by customs since 8/11/2023 but hasn’t got any further, can’t find anywhere to contact company to chase it up",GB
654f42d74c7a0158825c7c83,Very good excellent quick delivery 🚚😁…,2023-11-11,5,Very good excellent quick delivery 🚚😁 thank you,IE
654b62a16991c733242c0631,Quality cooking supplies can be…,2023-11-06,5,Quality cooking supplies can be purchased here. However. The shipment speed should be improved.,NL
6549578a7fa4b5595f1a694b,Delivery bad!,2023-11-06,1,,AT
6546ab203b4e9ca546b4746d,welding mashine,2023-11-04,5,"Thank you, I received the welding machine.I recommend the company.",IE
653f9b34cd60ce15187515c7,Very good quality- price ratio,2023-10-19,5,"Product on web-site looks exactly the same as is delivered. Very good quality- price ratio. Quick delivery, easy to assemble",CH
653e58889557a2d6bc874db1,I ordered an item but the shipping…,2023-10-25,5,"I ordered an item but the shipping company was awful.However, I emailed expondo.com, and the problem was resolved overnight. Will order again from Expondo",RO
653d51baab51b38e51604008,Good product and very good service,2023-10-24,5,,GB
653ab154532aa794360b78f7,Great product and delivered as promised,2023-10-26,5,,GB
